author_id,created_at,id,tweet
28955739,2023-01-18 19:03:57+00:00,1615787094680698881,Humble Games Bundle: Fighting Farmers https://t.co/eK0tWM8inz #ad https://t.co/v4IhVcS8ZV
15942016,2023-01-18 19:00:16+00:00,1615786164241186839,"With #water crises everywhere, how to manage water usage, discharge and #stormwater has become a critical operational and strategic question. Read the story from @Black_Veatch here: https://t.co/9yoNbns3wL #sponsored"
390928481,2023-01-18 18:59:36+00:00,1615785997635043335,Today we’re going to be surprising my AT&amp;T #ClassOf2022 member @TheFrostPrime with all of our love. Come by the stream and get ready to teleport! @ATT #ad
16365305,2023-01-18 18:59:06+00:00,1615785873689165835,"With a dozen years in Austin, nearly two years in Houston, and three months in the DFW metroplex among them, three families share the draw of the 806. Learn more at the link below. #LubbockLeads #sponsored by @LubbockEDA 
https://t.co/pFvHCqap3b"
61488231,2023-01-18 18:56:03+00:00,1615785103895969809,"Do you have a couple of hours to spare each week to support an unpaid carer in your local community?
#Ad @AssocOfCarers #volunteering #carers #respitecare #charity #EastSussex #helping 

https://t.co/oOdZwFeTvF"
99960420,2023-01-18 18:52:00+00:00,1615784084562657302,"Data scientist in Belfast and clinical training officer in Crumlin: GetGot has the dream career for you #sponsored #IrishNewsJobs 

https://t.co/kffZMJxie0"
76919389,2023-01-18 18:50:30+00:00,1615783707255652359,"SBK are offering £30 FREE BETS this week to ALL NEW CUSTOMERS!! 😍

Perfect to use on this week's sport! 🏇 ⚽️

All that's required is you sign up to SBK &amp; deposit £10 here 👇

👀 https://t.co/7oKWJ3r40k 👀

*New Customer Offer*

🔞 T&amp;C's Apply. BeGambleAware #Ad https://t.co/vahWsIoHxn"
39466886,2023-01-18 18:45:04+00:00,1615782340453621760,"“It is a real win-win situation as the courses give pupils a taste of what to expect in further or higher education and takes the anxiety away from them.”
#AD @FVCollege #furthereducation #college #ForthValley #highereducation #choosecollege

https://t.co/8Cc5TJXOZV"
1001446171620118528,2023-01-18 18:44:17+00:00,1615782142952226839,"#Ad Let’s start the year right let’s get our shine on no matter what.
#shineon #DrinkRespibsibly"
63514682,2023-01-18 18:43:51+00:00,1615782032952512512,"@MisterGnarly @ThamesAndKosmos @alderac @BlueOrangeGames @OspreyGames @iv___studio @FunkoGames @GaleForceNine @UpperDeckEnt @luckyduckgames @spinmastergames That’s subjective on taste players mood etc

Here’s my affiliate store w/games I own &amp; recommend 

https://t.co/MQG1yn5TsG #ad

Dice Throne S1 @roxleygames 
Marvel Legendary @UpperDeckEnt 
Cascadia @alderac 
Destinies @luckyduckgames 
MD2 @CMONGames
Fire Tower @RunawayParade"
868494434,2023-01-18 18:35:00+00:00,1615779806452269069,"🚀 40/1 PREMIUM BOOST! 🚀

⚪️ Leeds v Cardiff 🔵
🦅 Crystal Palace v Manchester Utd 👹

Add straight to your bet-slip 👇
https://t.co/8f2vElz44u

#AD | 18+ | Begambleaware | Always Gamble Responsibly https://t.co/MGF4uF9KSx"
390042363,2023-01-18 18:32:09+00:00,1615779091491209223,"🚨 New Paddy Power customer? You could use this offer ....

Bet on Celtic v St Mirren and get money back as CASH if you lose, plus 102-1 tips and prediction 🤑⚽

🔞 | https://t.co/hIDqpWvMUI | T&amp;Cs apply | #ad

https://t.co/Mcrn4Urj2z"
160298112,2023-01-18 18:30:42+00:00,1615778726498926598,"Same pose, same smile - completely different Ola! She’s gorgeous in both but definitely back to her old self in the second.

So if you need a bit of group support to smash your body goals - check out 
https://t.co/dqXGm3zFuD 👆

#dance #fitness #danceshred #ad https://t.co/oiha1bnIYq"
263257931,2023-01-18 18:30:00+00:00,1615778549243281410,"This 80/1 boost is exclusive to SkyBet! 

Bet £10 &amp; you will get £30 FREE BETS when you join HERE: https://t.co/xY9BdcEm7L

#Ad | New Customer Offer | 18+ | T&amp;Cs Apply | BeGambleAware https://t.co/FDzN421lup"
16803602,2023-01-18 18:30:00+00:00,1615778548534362127,@Bothwell_Care can help with additional support to maintain your quality of life #ad https://t.co/ZiVMzij3u0
1343038112,2023-01-18 18:24:42+00:00,1615777216981245954,Book your after-season service with New Holland #Sponsored  https://t.co/PQ2IoKYmFL
575792221,2023-01-18 18:24:11+00:00,1615777086668697600,"NEW on the blog today 🎉

📝 Reading and writing skills are present throughout the school day.

💻 In today’s blog post, I have six creative ways to integrate literacy into your social studies lessons with @CapstonePub!

#sponsored #edtech #education https://t.co/EvM7bfCmLo"
334984155,2023-01-18 18:23:00+00:00,1615776789283880989,"Working in the health insurance industry during COVID-19 was disheartening for Daniela Londono. In her new role at Stride, she’s helping people enroll in benefits regardless of their employment status.
 #sponsored #careers @StrideHealth 
https://t.co/QoIYlWJAov"
